rank,title,url,points,author,comments
1,The session you cannot take with you,https://earendil.com/posts/session-portability/,371,apitman,87
2,"Google fixed more Chrome bugs in June than over the past two years, thanks to AI",https://blog.google/security/chrome-stronger-with-every-update/,92,Garbage,96
3,JEP 401: Value Objects (Preview) merged to OpenJDK master,https://github.com/openjdk/jdk/pull/31120,120,mfiguiere,58
4,DeepSeek-V4-Flash Update,https://api-docs.deepseek.com/updates/,305,dnhkng,136
5,Stacked PRs are now live on GitHub,https://github.blog/changelog/2026-07-30-stacked-pull-requests-are-now-in-public-preview/,657,tomzorz,230
6,"Show HN: Gander, an Android file viewer that asks for no permissions at all",https://github.com/mokshablr/gander,69,mokshablr,25
7,I flagged two research papers for fake authors and both were accepted as orals,https://geospatialml.com/posts/reviewing-ai-slop/,202,volumes94,92
8,Show HN: What should the GUI for AI agents look like?,https://marbleos.com/demo,61,akbabu,38
9,Gemini Robotics 2 brings whole body intelligence to robots,https://deepmind.google/blog/gemini-robotics-2-brings-whole-body-intelligence-to-robots/,562,ai2027,448
10,The mean means nothing: data visualization to debug a latency problem,https://fzakaria.com/2026/07/27/the-mean-means-nothing,48,fanf2,7
11,"DeepSeek V4 Flash 0731 Intelligence, Performance and Price Analysis",https://artificialanalysis.ai/models/deepseek-v4-flash-ga,20,theanonymousone,5
12,Where USB Memory Sticks are Born (2013),https://www.bunniestudios.com/blog/2013/where-usb-memory-sticks-are-born/,56,jacquesm,3
13,Read this before you buy that TV streaming stick,https://krebsonsecurity.com/2026/07/read-this-before-you-buy-that-tv-streaming-stick/,721,speckx,436
14,Simulating TCP loss and congestion in browser using Go/WASM,https://ccsim.fly.dev,28,dilyevsky,0
15,The Religion of Speed,https://graybeard.ing/the-religion-of-speed/,167,MobiusHorizons,79
16,Show HN: A udev implementation in Guile Scheme,https://codeberg.org/goodev/goodev,7,mbakke,3
17,The Economic Benefit of Refactoring,https://martinfowler.com/articles/exploring-gen-ai/refactoring-economic-benefit.html,243,javaeeeee,102
18,GCC steering committee announces AI policy,https://lwn.net/Articles/1086041/,299,arto,327
19,"Physicists Solve a Muon Mystery. Now, Old Results Don't Add Up",https://www.quantamagazine.org/physicists-solve-a-muon-mystery-now-old-results-dont-add-up-20260729/,218,ibobev,142
20,Bad Apple but It's Traceroute,https://jssfr.de/2026-07-27-bad-apple-but-traceroute.html,120,jssfr,38
21,Obfuscation (Part II): Diamond IO,https://vitalik.eth.limo/general/2026/07/28/obfuscation_part_ii_diamond_io.html,4,elffjs,1
22,The AI Aesthetic,https://blog.jim-nielsen.com/2026/ai-aesthetic/,310,montroser,137
23,"Memo-1: A 6502 computer built from scratch, using a Minitel as its terminal",https://github.com/MemoireMorte/Memo-1,77,sciences44,10
24,CodePen 2.0,https://chriscoyier.net/2026/07/30/codepen-2-0/,169,robin_reala,49
25,UEFA and its national associations will not participate in FIFA competitions,https://www.uefa.com/news-media/news/02a7-213a92896eb0-54dfbf454e3b-1000--statement-on-behalf-of-uefa-and-its-55-national-associations/,1049,dickfickling,569
26,The lost civic life of movie rental stores,https://thereader.mitpress.mit.edu/the-lost-civic-life-of-movie-rental-stores/,172,facundo_olano,224
27,"Rune 1.1: adds Python, an Emacs editor, a symbol index and is now free",https://rune.build/blog/rune-1-1-release,81,ernestrc,33
28,Show HN: Distilling DeepSeek into GPT-OSS doesn't transfer censorship. Try it,https://www.ctgt.ai/research/distillation-censorship-transfer,128,cgorlla,64
29,Saber-toothed cats became inbred–and struggled to move–before they went extinct,https://www.science.org/content/article/saber-toothed-cats-became-inbred-and-struggled-move-they-went-extinct,57,gmays,24
30,Why is everyone trying to build a solid-state battery?,https://www.construction-physics.com/p/why-is-everyone-trying-to-build-a,194,crescit_eundo,246
